ticker,name,corp_list
1027,제조업,"005930,000660,373220,207940,005380,000270,068270,005490,006400,051910,012330,066570,003670,012450,329180,042700,267260,034020,033780,009150,090430,010130,096770,010140,042660,000100,010950,010120,011070,034220,097950,450080,051900,011790,161390,064350,047810,003230,079550,454910,011170,241560,302440,005070,010620,009830,272210,011780,128940,066970,001570,004020,271560,298040,002380,004370,361610,001440,007660,002790,018880,383220,278470,000990,000880,112610,014680,009420,192820,007310,005850,204320,280360,042670,020150,017800,103140,298050,069620,011210,161890,006280,073240,298020,003090,000080,185750,267270,336260,336370,082740,103590,005300,137310,014820,003620,004000,004490,108320,353200,457190,120110,002840,000210,002710,145720,248070,300720,178920,005180,009450,001680,006110,268280,005420,281820,285130,456040,049770,069260,090460,093370,100090,105630,195870,006650,007340,008730,009900,010780,001060,001430,002350,003240,003570,003850,271940,344820,003960,071970,161000,170900,192650,006380,014830,016380,016800,017860,017960,018250,019170,025540,000670,064960,241590,005610,377740,460860,058650,075580,077970,093050,097520,108670,115390,145990,183190,200880,007460,011930,017810,020000,029530,033240,033270,001340,001820,002240,002960,003160,003300,003520,003920,249420,226320,271980,272550,306200,322000,035150,058430,084010,084680,092220,092230,092790,100840,102460,104700,138490,213500,214420,006340,006390,007570,007690,007810,009160,009290,009470,009680,010690,013890,016580,016590,018470,025000,025860,029460,000020,000430,000480,000490,000500,001130,001390,001630,001780,001790,001940,002310,003000,003120,003220,003350,004380,004430,004560,004700,005010,005500,005690,005720,000220,000230,000390,000520,000860,000910,000970,001020,001080,001360,001380,001460,001520,001560,002100,002170,002200,002210,002390,002450,002600,002720,002900,003060,003200,003610,003650,003720,003780,003830,004090,004100,004250,004310,004540,004710,004720,004830,004840,004890,004910,004980,005680,005800,005870,005950,006060,006090,006660,006890,007210,007280,007590,007980,008040,008110,008260,008350,008490,008700,008970,009200,009270,009580,010040,010100,010580,010820,011000,011150,011280,011300,011330,011500,011690,011700,012600,012610,012690,012800,013520,013870,014160,014280,014530,014580,014710,015230,015590,015890,016090,016450,016740,017040,017180,017370,017550,017900,019440,021820,023000,023450,023800,023810,024090,024900,025820,027970,032560,033180,033530,033920,036580,041650,047400,055490,063160,074610,078520,079430,079980,081000,083420,089470,090350,092200,092440,092780,100250,101530,105840,109070,111380,120030,134380,136490,139990,145210,163560,194370,210540,214330,214390,234080,248170,264900,282690,293480,298000,372910,378850,460850,462520,023150,024070,024890,025560,025620,025750,025890,026940,027740,033250,044380,049800,051630,058730,069460,069730,071090,071950,075180,084870,085310,090080,090370,091090,093240,102280,111110,119650,123700,133820,134790,143210,155660,308170,446070,000040,000300,000850,000890,000950,001070,001210,001420,001550,001620,001770,002070,002140,002220,002360,002630,002690,002760,002820,002880,002920,003080,003680,004410,004440,004450,004770,004870,004920,005030,005750,005820,006570,006740,006980,007610,008250,008420,008500,008870,009140,009190,009310,009320,009460,009770,010640,010660,010770,011090,011230,011390,012160,012200,012280,014440,014910,014990,015260,018500,019180,019490,020760,021050"
1028,코스피 200,"005930,000660,373220,207940,005380,000270,068270,105560,005490,035420,055550,028260,006400,051910,012330,032830,066570,086790,035720,003670,000810,012450,138040,329180,259960,009540,042700,011200,003550,267260,015760,034020,033780,009150,018260,017670,024110,402340,316140,090430,034730,010130,323410,096770,030200,010140,042660,047050,003490,000100,010950,005830,352820,010120,326030,011070,267250,034220,097950,450080,251270,051900,011790,161390,064350,047810,028050,003230,079550,021240,454910,078930,086280,029780,006800,022100,180640,241560,005070,032640,009830,011170,005940,066970,272210,011780,010620,302440,036570,016360,128940,071050,001040,006260,001570,036460,004020,000720,271560,377300,039490,001450,035250,175330,004370,002380,000150,138930,052690,088350,361610,004990,002790,001440,081660,383220,018880,007070,000880,000120,012750,008930,112610,008770,009420,030000,026960,028670,014680,047040,051600,103140,111770,192820,023530,280360,282330,005850,007310,017800,204320,006280,006360,042670,069620,073240,139480,161890,298020,000080,004170,298050,000240,009240,185750,139130,011210,010060,003090,004800,004490,004000,003620,001120,457190,000210,375500,336260,137310,069960,014820,009970,005300,002710,192080,145720,001740,300720,120110,001800,069260,178920,005250,003030,105630,114090,008730,006650,006110,005420,285130,001680,271940,009900,039130,032350,001430,016380,093370,000670"
1034,코스피 100,"005930,000660,373220,207940,005380,000270,068270,105560,005490,055550,035420,028260,006400,051910,012330,032830,066570,086790,035720,003670,000810,012450,329180,138040,259960,009540,042700,011200,003550,015760,034020,033780,009150,017670,018260,024110,316140,402340,090430,034730,010130,096770,323410,010140,030200,042660,047050,000100,003490,010950,005830,352820,326030,267250,034220,011070,097950,450080,251270,161390,051900,011790,047810,454910,028050,029780,086280,022100,021240,078930,180640,005940,032640,006800,011170,302440,009830,241560,011780,128940,066970,071050,016360,036570,001570,271560,004020,000720,036460,377300,035250,361610,004990,002790,007070,008930,383220,018880,008770,282330"
1035,코스피 50,"005930,000660,373220,207940,005380,000270,068270,105560,005490,035420,055550,028260,006400,051910,012330,032830,086790,066570,035720,003670,000810,138040,329180,259960,009540,011200,003550,015760,034020,033780,009150,017670,018260,024110,316140,090430,034730,010130,096770,323410,030200,047050,010950,352820,326030,450080,022100,086280,011170,377300"
1150,코스피 200 커뮤니케이션서비스,"035420,035720,259960,017670,030200,352820,251270,032640,036570,030000"
1151,코스피 200 건설,"028260,028050,000720,052690,047040,006360,375500,300720"
1152,코스피 200 중공업,"329180,009540,267260,034020,010140,042660,064350,454910,241560,010620,000150,112610,017800,042670"
1153,코스피 200 철강/소재,"005490,010130,004020,103140,014820,002710,006110,003030,008730,001430,016380,000670"
1154,코스피 200 에너지/화학,"051910,034730,096770,010950,267250,011790,078930,011170,009830,011780,001570,002380,000880,014680,298050,010060,298020,004800,004000,000210,457190,120110,178920,285130,005420,069260,006650,093370"
1155,코스피 200 정보기술,"005930,000660,006400,066570,042700,003550,009150,018260,402340,011070,034220,022100,005070"
1156,코스피 200 금융,"105560,055550,032830,086790,000810,138040,024110,316140,323410,005830,029780,006800,005940,071050,016360,377300,039490,001450,175330,138930,088350,139130"
1157,코스피 200 생활소비재,"015760,033780,090430,097950,051900,003230,001040,036460,271560,004370,002790,004990,007070,026960,192820,282330,007310,280360,139480,161890,000080,005300,001800,001680"
1158,코스피 200 경기소비재,"005380,000270,012330,161390,021240,035250,081660,383220,018880,008770,204320,005850,111770,023530,073240,004170,000240,009240,011210,004490,003620,009970,069960,192080,039130,105630,032350,114090,271940,009900"
1159,코스피 200 산업재,"373220,003670,012450,011200,047050,003490,010120,450080,079550,047810,086280,180640,272210,066970,006260,361610,001440,012750,000120,028670,051600,336260,001120,001740"
1160,코스피 200 헬스케어,"207940,068270,000100,326030,302440,128940,008930,009420,006280,069620,185750,003090,137310,145720,005250"
1167,코스피 200 중소형주,"267260,010120,064350,079550,003230,005070,010620,272210,006260,001040,039490,001450,002380,000150,004370,175330,138930,052690,001440,088350,081660,000880,012750,000120,112610,030000,009420,028670,014680,026960,204320,192820,005850,007310,051600,111770,023530,280360,103140,017800,047040,042670,139480,006360,006280,161890,069620,073240,009240,004170,000240,298050,010060,000080,011210,185750,298020,139130,003090,375500,005300,004490,336260,004800,014820,004000,003620,001120,137310,000210,009970,069960,457190,145720,120110,192080,001740,002710,300720,001800,001680,178920,039130,006110,005420,285130,105630,069260,003030,032350,008730,006650,271940,114090,005250,009900,001430,093370,016380,000670"
